# Command: sysctl -a
---
net.ipv4.ip_forward = 1
net.ipv6.conf.all.forwarding = 0
net.ipv4.conf.all.accept_source_route = 1
net.ipv4.conf.default.accept_source_route = 0
net.ipv4.conf.all.accept_redirects = 1
net.ipv4.conf.all.secure_redirects = 1
net.ipv4.conf.all.log_martians = 0
net.ipv4.icmp_echo_ignore_broadcasts = 1
net.ipv4.icmp_ignore_bogus_error_responses = 1
net.ipv4.conf.all.rp_filter = 0
net.ipv4.tcp_syncookies = 1
net.ipv6.conf.all.accept_ra = 1
net.ipv6.conf.all.accept_redirects = 1
kernel.randomize_va_space = 1
fs.suid_dumpable = 1
kernel.kptr_restrict = 0
kernel.yama.ptrace_scope = 0
kernel.dmesg_restrict = 0
kernel.unprivileged_bpf_disabled = 0
---
# Exit: 0
